URL,Rate,NameResort,Stars,KmFreeride,Continent,Country,State/Province,Altitude,Easy,Intermediate,Difficult,Adult,Currency,SkiResortSize ,VarietyOfRuns,LiftsAndCableCars,SnowReliability,OnSiteParking,InformationBoardsSignPostings,CleanlinessAndHygiene,EnvironmentallyFriendly,MountainRestaurants,ApresSki,AccommodationAtSlopesAndLifts,FamiliesAndChildren,Beginners,SnowParks,CrossCountryTrails,Country,Latitude,Longitude,TotalKms
http://www.skiresort.info/ski-resort/hintertux-glacier-hintertuxer-gletscher/,4.0, Hintertux Glacier (Hintertuxer Gletscher),4.0,0.0,Europe,Austria,Tyrol (Tirol),3250.0,14.0,35.0,11.0,52,European Euro,"4,0",4.0,"4,0",5.0,"3,0","4,0","5,0","4,0","4,0","4,0","4,0","3,0","3,0","5,0","2,0",AT,47.516231,14.550072,60
http://www.skiresort.info/ski-resort/st-johann-in-tiroloberndorf-harschbichl/,4.0,. St. Johann in Tirol/Oberndorf – Harschbichl,3.0,1.0,Europe,Austria,Tyrol (Tirol),1604.0,16.0,24.0,3.0,"43,50",European Euro,"3,0",4.0,"3,0",4.0,"4,0","4,0","4,0","3,0","5,0","3,0","4,0","5,0","4,0","3,0","5,0",AT,47.516231,14.550072,43
http://www.skiresort.info/ski-resort/radstadtaltenmarkt/,4.0,. Radstadt/Altenmarkt,2.0,0.0,Europe,Austria,Salzburg (Salzburger Land),1571.0,9.2,7.2,0.6,"51,50",European Euro,"2,0",4.0,"5,0",4.0,"5,0","4,0","5,0","4,0","5,0","3,0","3,0","5,0","4,0","3,0","5,0",AT,47.516231,14.550072,17
http://www.skiresort.info/ski-resort/tauplitz-bad-mitterndorf/,4.0,Tauplitz – Bad Mitterndorf,5.0,2.0,Europe,Austria,Styria (Steiermark),1965.0,18.0,19.0,6.0,41,European Euro,"3,0",4.0,"4,0",5.0,"3,0","4,0","5,0","4,0","4,0","3,0","4,0","4,0","4,0","1,0","5,0",AT,47.516231,14.550072,43
http://www.skiresort.info/ski-resort/hochzeiger-jerzens/,4.0, Hochzeiger – Jerzens,4.0,8.0,Europe,Austria,Tyrol (Tirol),2450.0,10.0,22.0,8.0,44,European Euro,"3,0",4.0,"5,0",4.0,"3,0","5,0","5,0","4,0","4,0","4,0","4,0","5,0","4,0","3,0","2,0",AT,47.516231,14.550072,40
http://www.skiresort.info/ski-resort/dachstein-west-gosaurussbachannaberg/,4.0, Dachstein West – Gosau/Russbach/Annaberg,4.0,4.0,Europe,Austria,Salzburg (Salzburger Land),1620.0,15.0,33.0,3.0,"43,70",European Euro,"4,0",4.0,"4,0",4.0,"4,0","4,0","4,0","4,0","5,0","3,0","4,0","5,0","3,0","4,0","4,0",AT,47.516231,14.550072,51
http://www.skiresort.info/ski-resort/galtuer-silvapark/,4.0, Galtür – Silvapark,4.0,6.0,Europe,Austria,Tyrol (Tirol),2300.0,6.0,25.0,12.0,40,European Euro,"3,0",4.0,"4,0",4.0,"3,0","5,0","4,0","4,0","4,0","4,0","4,0","5,0","3,0","4,0","4,0",AT,47.516231,14.550072,43
http://www.skiresort.info/ski-resort/sillian-thurntaler-hochpustertal/,3.9,. Sillian – Thurntaler (Hochpustertal),3.0,0.7,Europe,Austria,Tyrol (Tirol),2407.0,5.6,15.0,1.1,"46,50",European Euro,"3,0",4.0,"4,0",4.0,"3,0","4,0","4,0","4,0","3,0","3,0","3,0","4,0","4,0","3,0","5,0",AT,47.516231,14.550072,21
http://www.skiresort.info/ski-resort/hochoetz-oetz/,3.9, Hochoetz – Oetz,4.0,3.5,Europe,Austria,Tyrol (Tirol),2272.0,12.0,21.0,3.0,39,European Euro,"3,0",4.0,"4,0",4.0,"5,0","4,0","4,0","4,0","4,0","3,0","3,0","5,0","3,0","3,0","2,0",AT,47.516231,14.550072,36
http://www.skiresort.info/ski-resort/spieljoch-fuegen/,3.9,. Spieljoch – Fügen,3.0,4.0,Europe,Austria,Tyrol (Tirol),2037.0,3.6,14.8,2.7,"52,50",European Euro,"2,0",4.0,"4,0",4.0,"5,0","4,0","5,0","4,0","4,0","3,0","4,0","4,0","3,0","3,0","2,0",AT,47.516231,14.550072,21
